,id,Created at,Screen Name,Tweet Text,Subject
114,1322420742974173184,Sat Oct 31 06:10:49 +0000 2020,Objectivebroker,RT @Hellharbour: I find it bizarre that Newscorp hounded the shit out of Dan Andrews for his handling of Covid yet endorses Frump who is cr…,Andrews
115,1322420667472510979,Sat Oct 31 06:10:31 +0000 2020,RealNoseyParker,"@OzraeliAvi What do all the world leaders and politicians have in common ?

Why did Dan Andrews marry a Tranny ?

W… https://t.co/fEZzwskRwk",Andrews
116,1322420526036389890,Sat Oct 31 06:09:57 +0000 2020,MSNAustralia,Dan Andrews' mum reveals she hasn't seen the premier since Christmas https://t.co/OvXmDeCH5r,Andrews
119,1322420024494096386,Sat Oct 31 06:07:57 +0000 2020,ditreble,"So, if you missed this segment (&amp; read the comments) it wasn't about Dan Andrews. It was a callout for regional peo… https://t.co/4ozvk6coag",Andrews
120,1322419873268428800,Sat Oct 31 06:07:21 +0000 2020,AB_Owl,"RT @EvieDaisy3: @geeksrulz How good is Dan Andrews 
#ThanksForNothingScott",Andrews
124,1322418962638929921,Sat Oct 31 06:03:44 +0000 2020,balmycook,"@OzraeliAvi Come to the country mate, gyms are open and life is awesome! Fuck Melbourne and fuck Dan Andrews!,",Andrews
126,1322418863435214849,Sat Oct 31 06:03:21 +0000 2020,TrishCharter,Blowed if I know - I was only referring to that very tight blue jacket Dan Andrews was wearing when I last saw him.… https://t.co/PgO6UIOegs,Andrews
127,1322418767071240193,Sat Oct 31 06:02:58 +0000 2020,LesleyE02634258,"RT @kathryntherese2: @abcnews I find it interesting that media have moved on from Aged care neglect and lack of covid plan 
Moved on from R…",Andrews
128,1322418477290852353,Sat Oct 31 06:01:48 +0000 2020,PKermeci,RT @For_Australia_: Dan Andrews Takes A Day Off - Almost https://t.co/EQb6ShYirS,Andrews
129,1322418376925278208,Sat Oct 31 06:01:25 +0000 2020,john88354238,"@vaxwell @theage @DanielAndrewsMP Dan Andrews was the health minister before he was premier, correct? that’s why Vi… https://t.co/gCrifXv3OJ",Andrews
132,1322418298948968449,Sat Oct 31 06:01:06 +0000 2020,PKermeci,"RT @For_Australia_: Remember, my fellow Australians: Dan Andrews is looking to bail out Victoria through deals with the Communist Party of…",Andrews
136,1322417728783745025,Sat Oct 31 05:58:50 +0000 2020,SophieSocialist,RT @smoffymoth: @abcnews Dan Andrews never played politics. He worked for all Australians unlike Morriscum and our Federal government.,Andrews
137,1322417654766866432,Sat Oct 31 05:58:32 +0000 2020,Eve5810,RT @bradpsychology: Was Victoria’s one Covid case a false positive?  But I didn’t get a donut.  This is the worst.  Dan Andrews how could y…,Andrews
139,1322416899091701762,Sat Oct 31 05:55:32 +0000 2020,loz43323229,RT @sabhlok: Everything that Dan Andrews has done at the point of a gun could have been done voluntarily. That was the only civilised optio…,Andrews
140,1322416892615696384,Sat Oct 31 05:55:31 +0000 2020,For_Australia_,"Remember, my fellow Australians: Dan Andrews is looking to bail out Victoria through deals with the Communist Party… https://t.co/V4nFnTeOOF",Andrews
142,1322416716287078400,Sat Oct 31 05:54:49 +0000 2020,tahinibean,"#DanLiedPeopleDied
#MakeDanPay Hundreds of people will never see their loved ones again because of Andrews . If thi… https://t.co/31bJTcOaw3",Andrews
143,1322416675329699840,Sat Oct 31 05:54:39 +0000 2020,edie02303038,@ScallywagRay Nothing ordinary about Dan Andrews :),Andrews
144,1322416632287776769,Sat Oct 31 05:54:29 +0000 2020,heardboutpluto,RT @heathermarielit: @heardboutpluto @PRGuy17 @slow_hula This is in my head now..... Andrews.....Andrews.....Andrews....erm my best friend'…,Andrews
145,1322416519037378567,Sat Oct 31 05:54:02 +0000 2020,verucaxsalty,RT @_cocainecharlie: If I was dan andrews I would simply ban the Melbourne cup and make Halloween a public holiday,Andrews
146,1322416341014376448,Sat Oct 31 05:53:19 +0000 2020,southyarradan,Seriously someone needs to remind @Jeff Kennett it was #Dan Andrews that initiated the inquiry into hotel quarantin… https://t.co/8evNlnOMSN,Andrews
147,1322415766105284608,Sat Oct 31 05:51:02 +0000 2020,Bad_cyclist,"@Frank__Davies What does that say about Albos leadership? No ‘but MSM’ bulls^t excuses.
Dan Andrews showed how easy… https://t.co/xFaj5dxIyD",Andrews
152,1322414710558392321,Sat Oct 31 05:46:50 +0000 2020,RoseGWhite,"RT @Jennife80861585: Jeff Kennett was about cut ,cut ,cut and sell ,sell ,wasn't he ,The reason he criticizes Dan Andrews ,is because he bu…",Andrews
153,1322414658930704384,Sat Oct 31 05:46:38 +0000 2020,insta_ginge_,@GayleRobMurphy Go away nuffie I like Dan Andrews,Andrews
154,1322414625070067714,Sat Oct 31 05:46:30 +0000 2020,NickTrebla,RT @Rordan508: Peta Credlin must be pissed off Dan Andrews has come out on top after all that pitching-in she did for fellow Australians in…,Andrews
158,1322413474383712257,Sat Oct 31 05:41:56 +0000 2020,bradpsychology,Was Victoria’s one Covid case a false positive?  But I didn’t get a donut.  This is the worst.  Dan Andrews how cou… https://t.co/0VSckzkJ4B,Andrews
161,1322412732382015488,Sat Oct 31 05:38:59 +0000 2020,carolemorrissey,"RT @JJKALE2: Dan Andrews to @rachelbaxendale

""No I don't let others craft &amp; script my messages Rachel. It's exclusively based on honesty a…",Andrews
165,1322411447234686976,Sat Oct 31 05:33:52 +0000 2020,Rordan508,Peta Credlin must be pissed off Dan Andrews has come out on top after all that pitching-in she did for fellow Austr… https://t.co/VgdjpEfsHp,Andrews
169,1322410988994396160,Sat Oct 31 05:32:03 +0000 2020,KingofSorrow2,@ronInBendigo @ausnotes @_davidlimbrick @MADinMelbourne @shadimalaeb @openvic @AusLiberalParty In my opinion the li… https://t.co/ihdS9CxBfZ,Andrews
170,1322410691727298560,Sat Oct 31 05:30:52 +0000 2020,dumpychubbie,"Premier, Dan Andrews, I hope your having the very best day today with your family. You deserve the very best of every good thing.",Andrews
173,1322409334895079424,Sat Oct 31 05:25:29 +0000 2020,HyliaGames,"10 new cases in Australia today
100,000 new cases in USA today

Thanks Dan Andrews for being strict on lockdowns an… https://t.co/9xRBMrpufs",Andrews
175,1322408617207713793,Sat Oct 31 05:22:38 +0000 2020,justmarty11,@TimSmithMP Your obsession with Dan Andrews is on loop - get help,Andrews
179,1322407719781855232,Sat Oct 31 05:19:04 +0000 2020,chesndazz,RT @For_Australia_: Be patient getting rid of Dan Andrews takes time.,Andrews
180,1322407699087204352,Sat Oct 31 05:18:59 +0000 2020,mclovn13,RT @NeilEvansmail: Racing: Just when u thought Dan Andrews had the all-time Group 1 'Incompetence Cup' sewn up.. @AnnastaciaMP is coming wi…,Andrews
181,1322407643437166593,Sat Oct 31 05:18:45 +0000 2020,TheLamarckian,RT @BobeMannBball: Never taking crap from any Queenslander again about us voting in Dan Andrews if they vote this vile corrupt mob back in.…,Andrews
182,1322407577351680129,Sat Oct 31 05:18:30 +0000 2020,NanaJMcK,RT @deayton_kerry: @Frank__Davies Fauci congratulates Australia (specifically Dan Andrews) although the word Australia has been cut from th…,Andrews
185,1322406885497040897,Sat Oct 31 05:15:45 +0000 2020,southyarradan,@theheraldsun What is at the essence of good governance is transparency in government.Premier #Dan Andrews establis… https://t.co/FW5bZJrOHX,Andrews
188,1322404742971105281,Sat Oct 31 05:07:14 +0000 2020,kathryntherese2,@DaveMilbo @19maddie08 @ScottMorrisonMP Did I miss him graciously thanking Prof Sutton and Dan Andrews for their hard work ? 🤔,Andrews
189,1322404719579463685,Sat Oct 31 05:07:08 +0000 2020,mwheatland,"@TimSmithMP Dan Andrews did a fantastic job guiding us through  the darkness to rescue our lives and livelihoods.
T… https://t.co/980uQqvjZ6",Andrews
