,id,Created at,Screen Name,Tweet Text
69,1321718164686864384,Thu Oct 29 07:39:01 +0000 2020,dmodiwirijo,"RT @KimStrassel: Now actual news organizations are censoring political speech. 

https://t.co/qbUxbglH2N"
70,1321718164678496262,Thu Oct 29 07:39:01 +0000 2020,hugolowell,RT @hugolowell: House Speaker Nancy Pelosi pushes back on MSNBC at Trump comments that election results should come on election night: “For…
71,1321718164535738369,Thu Oct 29 07:39:01 +0000 2020,taengrocker,"RT @EtotheNev: I… I cannot even convey how much this angers and disgusts me. The layers of my offense are countless. You are such a gross,…"
72,1321718164212899840,Thu Oct 29 07:39:01 +0000 2020,Muhabarishaji,F-16s Intercept Unauthorized Aircraft Flying over Arizona Trump Rally (+Video) https://t.co/b3Mbx12gXm
73,1321718163650809857,Thu Oct 29 07:39:01 +0000 2020,stiller00,"RT @JohnBrennan: Mike Pence has supported, enabled, excused, &amp; ignored Trump’s incompetence, lies, &amp; narcissism over the last 4 years.

He…"
74,1321718163239657478,Thu Oct 29 07:39:01 +0000 2020,DAKGirl,RT @MSNBC: Rep. Porter on the importance of giving states time to count every vote: “We don’t want anybody who casts a valid ballot to lose…
75,1321718161851506688,Thu Oct 29 07:39:00 +0000 2020,Jbmomoh,RT @MrLekanAdigun: Someone will just wake up after taking excessive dosage of cheap drugs and spew nonsense with the hope that they’ll make…
76,1321718161427685376,Thu Oct 29 07:39:00 +0000 2020,MollyMalone5930,RT @ericbradner: This portion of Kavanaugh's concurrence in the Wisconsin case is objectively just ridiculous. First screenshot is dishones…
77,1321718161314439168,Thu Oct 29 07:39:00 +0000 2020,ene_liis,"RT @RexChapman: Here’s the only closing argument I need:

Trump doesn’t give a damn if Americans live or die. Even if they’re his supporter…"
78,1321718161138307073,Thu Oct 29 07:39:00 +0000 2020,soy_el_lorax,MOTORCYCLES AND TRUMP BAAABYYY HELLLLL YEAHHHH
79,1321718160945516544,Thu Oct 29 07:39:00 +0000 2020,remaininlullaby,RT @SethAbramson: As good an ad about Trump as I've seen. I hope you'll retweet it. https://t.co/G5e5L0HyRu
80,1321718160526135297,Thu Oct 29 07:39:00 +0000 2020,santafefran,"RT @SethAbramson: (PS) In other words, from April 18 on, U.S. pandemic response was not being run by doctors but by one man—Trump—without a…"
81,1321718160526057473,Thu Oct 29 07:39:00 +0000 2020,sheriffof0,Trump’s performing monkey plays his bullshit tune. Both organ-grinder &amp; his sidekick are busted flushes with vanish… https://t.co/YHydPDlEDv
82,1321718160400277504,Thu Oct 29 07:39:00 +0000 2020,FdavisFrank,Worried about a potential Trump-Biden transition period? Take a minute to remember 1860–61. https://t.co/vdriYqiPet via @slate
83,1321718160047935488,Thu Oct 29 07:39:00 +0000 2020,RitaKhosla,"RT @MeidasTouch: 1,000 tweets with #SickoTrump and we will release our latest ad. Warning. It's devastating for Trump."
84,1321718158957416448,Thu Oct 29 07:39:00 +0000 2020,nonowhitey,RT @MrLekanAdigun: Someone will just wake up after taking excessive dosage of cheap drugs and spew nonsense with the hope that they’ll make…
